Bird no. ,Species,Family ,Code ,Sex,Observer ,Observation no. ,Site ,BroodSize,BroodAge ,Date ,Julian ,StartTime ,AmbientTemp ,BroodAttendance ,BroodDefense ,Alert ,Self-maintanence ,Other ,Away
32,MP,429,W.L/M.W ,F ,Georgie ,3,E,2,8,24/05/2019,19144,09:40,26,0,4.2,0,36.7,43.3,15.8
33,MP,423,G.B/M.W,M ,Nemena ,3,D,2,4,19/04/2019,19109,06:48,19.7,0,0,0.8,1.7,97.5,0
34,MP,423,B.B/L.M,F ,Nemena ,3,D,2,4,19/04/2019,19109,06:48,19.7,31.7,0,0,11.7,56.7,0
37,KiP ,-419,B.W/L.M ,M ,Georgie ,3,H,2,11,17/05/2019,19137,09:35,27.6,5.8,0.8,3.3,15,75,0
38,KiP ,-419,unknown,F ,Georgie ,3,H,2,11,17/05/2019,19137,09:35,27.6,0,0,0,0,0,100
39,KiP ,-900,G.M/Y.B ,M ,Georgie ,3,D,1,16,23/05/2019,19143,09:45,27.8,0,1.7,4.2,24.2,74.2,0
40,KiP ,-900,unknown,F ,Georgie ,3,D,1,16,23/05/2019,19143,09:45,27.8,0,0,0,0,0,100
41,KiP ,-901,unknown,M ,Georgie ,3,D,1,11,02/05/2019,19122,14:55,29.2,0,0,0,0,0,100
42,KiP ,-901,G.L/M.Y ,F ,Georgie ,3,D,1,11,02/05/2019,19122,14:55,29.2,0,0,0,20,80,0
45,KiP ,508,L.B/x.B ,M ,Georgie ,3,E,2,12,04/06/2019,19155,09:35,28.3,55.8,0,0,5,39.2,0
46,KiP ,508,R.M/L.B ,F ,Georgie ,3,E,2,12,04/06/2019,19155,09:35,28.3,0,0,0,0,0,100
47,KiP ,-734,G.M/Y.R,M ,Georgie ,3,H,2,24,08/06/2019,19159,08:52,25.6,36.7,0,0,40,23.3,0
48,KiP ,-734,unknown,F ,Georgie ,3,H,2,24,08/06/2019,19159,08:52,25.6,0,0,0,0,0,100
